soldprice,size,monthly_fee,agent,municipality,municipality_tax_rate,Number of rooms,House type,Asking price,Balcony,Construction year,Operating cost,Letting form,Floor Number,Lift Availability,year
1395000,22.0,1843.0,Fastighetsbyrån,Alingsås kommun,21.36,1.0,Apartment,1395000.0,0.0,2019.0,4400.0,Right of residence,2.0,1.0,2021
320000,25.0,1621.0,Mäklarhuset,Lidköpings kommun,21.26,1.0,Apartment,299000.0,0.0,1962.0,2568.0,Right of residence,2.0,0.0,2021
1595000,23.0,1780.0,Länsförsäkringar,Göteborgs kommun,21.12,1.0,Apartment,1595000.0,0.0,1930.0,4200.0,Right of residence,2.0,0.0,2021
550000,21.5,1172.0,Mäklarhuset,Borås kommun,21.31,1.0,Apartment,545000.0,0.0,1961.0,2280.0,Right of residence,2.0,0.0,2021
1750000,23.0,1886.0,Lundin,Göteborgs kommun,21.12,1.0,Apartment,1595000.0,0.0,1935.0,4104.0,Right of residence,4.0,0.0,2021
800000,25.0,1469.0,Svensk,Sotenäs kommun,21.99,1.0,Apartment,790000.0,0.0,1961.0,4368.0,Right of residence,2.0,0.0,2021
1300000,25.0,1819.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,995000.0,0.0,1955.0,3474.0,Right of residence,1.0,0.0,2021
1830000,25.0,1759.0,Lundin,Göteborgs kommun,21.12,1.0,Apartment,1695000.0,0.0,1967.0,4400.0,Right of residence,1.0,1.0,2021
2040000,24.5,1706.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,1890000.0,0.0,1970.0,4200.0,Right of residence,4.0,1.0,2021
2220000,24.0,2438.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,1795000.0,0.0,2020.0,4400.0,Right of residence,2.0,1.0,2021
1350000,25.0,1819.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,1350000.0,0.0,1955.0,2700.0,Right of residence,1.0,0.0,2021
700000,24.0,1994.0,Fastighetsbyrån,Borås kommun,21.31,1.0,Apartment,650000.0,0.0,1941.0,3275.0,Right of residence,2.0,0.0,2021
1093000,24.0,2110.0,Fastighetsbyrån,Lerums kommun,20.65,1.0,Apartment,1150000.0,0.0,1953.0,4400.0,Right of residence,1.0,0.0,2021
1425000,22.0,1843.0,Fastighetsbyrån,Alingsås kommun,21.36,1.0,Apartment,1395000.0,0.0,2019.0,4800.0,Right of residence,3.0,1.0,2021
2300000,21.0,2107.0,Bjurfors,Göteborgs kommun,21.12,1.5,Apartment,1980000.0,0.0,2017.0,1200.0,Right of residence,2.0,0.0,2021
550000,25.0,1927.0,Fastighetsbyrån,Uddevalla kommun,22.16,1.0,Apartment,495000.0,0.0,1954.0,4400.0,Right of residence,1.0,0.0,2021
325000,22.0,1631.0,Länsförsäkringar,Munkedals kommun,23.38,1.5,Apartment,325000.0,0.0,1956.0,1740.0,Right of residence,3.0,0.0,2021
2570000,24.8,1725.0,ERA,Göteborgs kommun,21.12,1.0,Apartment,2200000.0,1.0,2018.0,3800.0,Right of residence,2.0,0.0,2021
195000,23.0,1718.0,SkandiaMäklarna,Hjo kommun,21.57,1.0,Apartment,125000.0,0.0,1955.0,1116.0,Right of ownership,2.0,0.0,2021
3050000,23.0,933.0,Lundin,Göteborgs kommun,21.12,1.0,Apartment,2480000.0,0.0,1924.0,4188.0,Right of residence,1.0,1.0,2021
1850000,25.0,1527.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,1995000.0,0.0,1932.0,2400.0,Right of residence,2.0,0.0,2021
2450000,24.0,1385.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,2150000.0,0.0,1850.0,3588.0,Right of residence,2.0,0.0,2021
1400000,22.5,1729.0,Fastighetsbyrån,Kungälvs kommun,21.44,1.0,Apartment,1350000.0,0.0,1967.0,1316.0,Right of residence,1.0,0.0,2021
650000,25.0,2116.0,Svensk,Skövde kommun,21.61,1.0,Apartment,650000.0,1.0,1943.0,2760.0,Right of ownership,1.0,0.0,2021
2250000,21.0,1093.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,2090000.0,0.0,1929.0,4400.0,Right of residence,1.0,1.0,2021
2450000,22.0,2508.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,2290000.0,0.0,2020.0,4400.0,Right of residence,1.0,1.0,2021
2195000,22.0,2508.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,2195000.0,0.0,2020.0,4800.0,Right of residence,1.0,1.0,2021
1750000,25.0,2140.0,Länsförsäkringar,Göteborgs kommun,21.12,1.0,Apartment,1580000.0,0.0,1956.0,3480.0,Right of residence,1.0,0.0,2021
